1.000000 -0.000000
0.999315 -0.000001
0.997261 -0.000004
0.993844 -0.000016
0.989074 -0.000042
0.982963 -0.000092
0.975528 -0.000177
0.966790 -0.000307
0.956773 -0.000491
0.945503 -0.000738
0.933013 -0.001053
0.919335 -0.001437
0.904508 -0.001889
0.888573 -0.002401
0.871572 -0.002963
0.853553 -0.003559
0.834565 -0.004172
0.814660 -0.004780
0.793893 -0.005361
0.772320 -0.005895
0.750000 -0.006360
0.726995 -0.006738
0.703368 -0.007018
0.679184 -0.007191
0.654508 -0.007257
0.629410 -0.007221
0.603956 -0.007096
0.578217 -0.006903
0.552264 -0.006668
0.526168 -0.006424
0.500000 -0.006206
0.473832 -0.006052
0.447736 -0.006001
0.421783 -0.006087
0.396044 -0.006344
0.370590 -0.006797
0.345492 -0.007461
0.320816 -0.008345
0.296632 -0.009444
0.273005 -0.010743
0.250000 -0.012212
0.227680 -0.013812
0.206107 -0.015493
0.185340 -0.017196
0.165435 -0.018854
0.146447 -0.020396
0.128428 -0.021751
0.111427 -0.022847
0.095492 -0.023620
0.080665 -0.024010
0.066987 -0.023969
0.054497 -0.023464
0.043227 -0.022473
0.033210 -0.020994
0.024472 -0.019037
0.017037 -0.016635
0.010926 -0.013832
0.006156 -0.010689
0.002739 -0.007280
0.000685 -0.003687
0.000000 0.000000
0.000685 0.003699
0.002739 0.007380
0.006156 0.011023
0.010926 0.014610
0.017037 0.018124
0.024472 0.021547
0.033210 0.024864
0.043227 0.028059
0.054497 0.031118
0.066987 0.034029
0.080665 0.036781
0.095492 0.039362
0.111427 0.041766
0.128428 0.043983
0.146447 0.046009
0.165435 0.047838
0.185340 0.049465
0.206107 0.050888
0.227680 0.052103
0.250000 0.053109
0.273005 0.053903
0.296632 0.054483
0.320816 0.054848
0.345492 0.054996
0.370590 0.054927
0.396044 0.054638
0.421783 0.054130
0.447736 0.053403
0.473832 0.052460
0.500000 0.051303
0.526168 0.049937
0.552264 0.048371
0.578217 0.046614
0.603956 0.044679
0.629410 0.042582
0.654508 0.040340
0.679184 0.037975
0.703368 0.035511
0.726995 0.032973
0.750000 0.030389
0.772320 0.027785
0.793893 0.025191
0.814660 0.022635
0.834565 0.020142
0.853553 0.017738
0.871572 0.015445
0.888573 0.013282
0.904508 0.011265
0.919335 0.009406
0.933013 0.007714
0.945503 0.006194
0.956773 0.004849
0.966790 0.003677
0.975528 0.002677
0.982963 0.001843
0.989074 0.001170
0.993844 0.000654
0.997261 0.000289
0.999315 0.000072
1.000000 -0.000000
